,xfoot,yfoot,xknee,yknee
1140,936.1336206896551,175.93534482758622,849.1826923076923,301.2230769230769
1141,940.5925925925926,181.2119341563786,848.6114180478821,303.3333333333333
1142,944.597510373444,186.64107883817428,848.4554079696395,305.2561669829222
1143,948.6687631027254,192.8008385744235,847.8718446601941,307.8019417475728
1144,952.4188596491229,199.40350877192984,847.2316831683169,310.5049504950495
1145,956.2217391304348,206.6304347826087,846.2417794970986,314.08317214700196
1146,959.7219626168225,214.61915887850466,845.5129151291513,316.9483394833948
1147,962.9957081545065,223.75965665236052,843.922641509434,320.1433962264151
1148,965.9237472766885,233.23311546840958,843.4035087719299,324.19883040935673
1149,968.9254385964912,243.2171052631579,842.580375782881,328.0208768267223
1150,970.8984547461368,253.84988962472406,840.5695238095238,332.2419047619048
1151,973.3179916317991,265.10251046025104,838.9735234215885,337.27902240325864
1152,975.6194690265487,277.2300884955752,836.8773784355179,342.3720930232558
1153,976.4757785467128,291.4463667820069,835.7097457627119,347.1080508474576
1154,978.0231404958678,305.25785123966944,832.7473233404711,352.1777301927195
1155,977.9582664526484,316.30176565008026,831.0534979423868,357.11728395061726
1156,977.619344773791,332.8268330733229,828.1838383838384,363.1050505050505
1157,976.2451298701299,348.52597402597405,825.8455284552846,368.2764227642276
1158,974.4910941475827,364.35368956743,822.6425438596491,373.6206140350877
1159,971.8326359832636,380.1910739191074,819.2463465553236,379.36951983298536
1160,967.6594202898551,398.3985507246377,815.8590021691974,384.5401301518438
1161,963.3200962695547,415.3393501805054,810.7521739130435,390.7608695652174
1162,956.6617100371748,431.25774473358115,807.8577319587629,395.5958762886598
1163,949.1452784503632,449.69975786924937,803.7621052631579,401.8463157894737
1164,939.7956204379562,467.338199513382,798.1841491841492,407.13519813519815
1165,928.1679487179487,484.5628205128205,794.6846473029045,412.37759336099583
1166,916.7165991902834,500.39946018893386,789.4216335540839,417.7836644591612
1167,902.9029733959311,517.8794992175274,785.4784394250513,423.4394250513347
1168,887.5368782161235,534.3807890222985,779.267094017094,427.5876068376068
1169,871.0886956521739,549.0869565217391,773.6128364389234,433.4927536231884
